,full_text
1890,I know its weird
1891,okay so everyone did that  but we are still not doing too well
1892,Pick a threshold and then minimize mass at that threshold
1893,okay so everyone did that  but we are still not doing too well
1894,okay so everyone did that  but we are still not doing too well
1895,okay so everyone did that  but we are still not doing too well
1896,go back to what you had bc we were at very good
1897,oh nvm
1898,I mass thinking larger pistonborediameter makes my part heavier
1899,Same happened to me a bit ago
1900,great question  but it is all legitimate
1901,Lower pistonborediameter works better for both me and the rod designer  do you know how it affects the flywheel or crankshaft ? 
1902,go back to what you had bc we were at good
1903,yall stay at where you are
1904,my part is a lot of the total weight
1905,ith piston pistonborediameter  equals to   75   bearing  187   5   flywheel  12  and shaft  40   we have a factorofsafety below  2   but our mass is good  we were fair
1906,whenever some of you change parameters my weight and factorofsafety changes
1907,go back to what you had bc we were at good
1908,ill try decreasing my mass slightly
1909,Alright 
1910,okay so lower pistonborediameter is better ? 
1911,Where is the  change variables of other subsystems  button that it talks about in the handout ? 
1912,ith piston pistonborediameter  equals to   75   bearing  187   5   flywheel  12  and shaft  40   we have a factorofsafety below  2   but our mass is good  we were fair
1913,ith piston pistonborediameter  equals to   75   bearing  187   5   flywheel  12  and shaft  40   we have a factorofsafety below  2   but our mass is good  we were fair
1914,how about for factorofsafety
1915,go back to what you had we were at good
1916,ith piston pistonborediameter  equals to   75   bearing  187   5   flywheel  12  and shaft  40   we have a factorofsafety below  2   but our mass is good  we were fair
1917,Pick an factorofsafety threshold and then minimize mass at that threshold
1918,I ve had it at the first one  but it says you may need my thickness to change
1919,my masss is  6   28 
1920,i havent changed anything
1921,and i have leeway with my factor of safety
1922,does anyone have a variable that could decrease the mass further while still holding a high factorofsafety
1923,Pick an factorofsafety threshold and then minimize mass at that threshold
1924,does anyone have a variable that could decrease the mass further while still holding a high factorofsafety
1925,Alright  b bearingoffset we have the given parameter LDr  equals to   1   2  and I have control of pistonborediameter
1926,I can lower it to  75 
1927,What is your range for pistonborediameter ? 
1928,im going to try to see what decreasing my mass slighlty does
1929,factorofsafety is  2   85 
1930,Pick an factorofsafety threshold and then minimize mass at that threshold
1931,im going to try to see what decreasing my mass slighlty does
1932,oh okay  sounds good
1933,Yes  mass minimization is quite useless on my end  as my values are  0   02  -  0   12 
1934,does anyone have a variable that could decrease the mass further while still holding a high factorofsafety
1935,im going to try to see what decreasing my mass slighlty does
1936,does anyone have a variable that could decrease the mass further while still holding a high factorofsafety
1937,DONT MOVE
1938,okay wait
1939,DONT CHANGE
1940,wait
1941,DONT CHANGE
1942,Should we do  75  for pistonborediameter or not so low
1943,wait
1944,dont change anything hahah
1945,wait
1946,Dont change 
1947,dont change anything hahah nice
1948,dont change anything hahah
1949,dont change anything hahah
1950,We just hit very good
1951,we are at excellent
1952,ya we just lowered it all the way  how are your numbers
1953,factorofsafety optimization would be best  Try to get the highest mass possible even if it has a low factorofsafety
1954,we are doing well right now
1955,gotcha
1956,gotcha
1957,says very good
1958,looking good
1959,says very good
1960,lets gooo
1961,dont move
1962,WE ARE AT EXCELLENT
1963,dont move
1964, 75 - 105 
1965,lowest mass I meant
1966,Okay  I think I have control of L and r 
1967,i did it  Looks a little closer but not quite there
1968, ? 
1969,enough money for me
1970,we are at very good right now
1971, 75  gives me  2   6 kg and  8   08 factorofsafety which I think is pretty good
1972,i dont want to mess it up
1973,I am going to increase the piston diameter  could you tell me if that increases or decreases your factorofsafety ? 
1974,ya the factorofsafety is so bad
1975,ayyyyyy
1976,nvm looks good
1977,I am going to increase the piston diameter  could you tell me if that increases or decreases your factorofsafety ? 
1978,factorofsafety is bad
1979,I am going to increase the piston diameter  could you tell me if that increases or decreases your factorofsafety ? 
1980,Let s try to get all the other engineers to work on high factorofsafety even if masses are high
1981,I am going to increase the piston diameter  could you tell me if that increases or decreases your factorofsafety ? 
1982,I have the  2 nd lowest possible mass selected for my part
1983,did it  we need to drop mass more still
1984,as their ranges are also pretty small
1985,I can hold mine above  2  and reduce but me having a high factorofsafety might brign the overall up for not much more mass
1986,why isnt this excellent ? 
1987,ok  Im just trying to figure out how it all works together  I was talking with someone else and sometimes when I optimize my part it hurts the overall system
1988,did it  need to drop more mass
1989,it doesnt impact it much  and my part is low mass so if i have to change it  that wont be a big deal
1990,did it  need to drop mass more
1991,What levels of mass are you dealing with ? 
1992,is there any way you can change your numbers to increase factorofsafety while keeping mass similar
1993,yeah i have the same questionb
1994,Bcause it changes other peoples factorofsafety properties
1995,We are hitting our requirements
1996,its bleow  40  and above  2 
1997,Rolid  really solid
1998,i have a really small mass  so im going to experiment with slightly higher masses and see if any of you get better simulation options
1999,i have a really small mass  so im going to experiment with slightly higher masses and see if any of you get better simulation options
2000,i have a really small mass  so im going to experiment with slightly higher masses and see if any of you get better simulation options
2001,i have a really small mass  so im going to experiment with slightly higher masses and see if any of you get better simulation options
2002,why isnt this exxcellent
2003,yo we got excellent
2004,its bleow  40  and above  2 
2005,i don t believe piston diameter affects the flywheel at all
2006,did it go up or down ? 
2007,yo we got excellent
2008,ok
2009,yo we got excellent
2010,yo we got excellent
2011,IT HAS US AT EXCELLENT NOW
2012,increases factorofsafety and mass
2013,what is your ms ? 
2014,like my factorofsafety just went from  1   9  to  2   2  without me changin anything for my part
2015,goal weight is actually  35 
2016,what is your ms ? 
2017,they updated it
2018,What is the relationship between those two and factorofsafety ?  For pistonborediameter  increasing it increases area and therefore the max gas force  but also will increase mass
2019,what is your ms ? 
2020,what is your ms ? 
2021,sounds good
2022, ;  
2023,i can get my mass between  0   5  and  0   6   and still have a pretty high factorofsafety
2024,hell yeah
2025,goal weight is actually  35 
2026,goal weight is actually  35 
2027,at excellent so dont change anything
2028,it went down
2029,goal weight is actually  35 
2030,Keep it steady we got excellent
2031,my ms is  1   0 
2032,excellent ? 
2033,excellent
2034,Keep it steady we got excellent
2035,we are at excellent now
2036,Keep it steady we got excellent
2037,what do you mean by ms
2038,so are we just done then ?  lol
2039,We meet the factorofsafety requirement  but we lack in the mass department  Let s reduce mass 
2040,right now its  0   1  but it ranges from  0   01  to  0   1 
2041,mass ?  sorry  i am between  0   5  and  0   6 
2042,ok  are you then able to selkect a lower mass option ? 
2043,We meet the factorofsafety requirement  but we lack in the mass department  Let s reduce mass 
2044,just  0   12 
2045,excellent
2046,select  
2047,We meet the factorofsafety requirement  but we lack in the mass department  Let s reduce mass 
2048,I think we are done
2049,We meet the factorofsafety requirement  but we lack in the mass department  Let s reduce mass 
2050,me too
2051,I will try that
2052,if you drop weight and i up the pin  we might still be ok
2053,I think we are good
2054,ok mine is the largest  Im gonna decrease
2055,ok
2056,record your current value
2057,I think we are done
2058,I think we are good if we get excellent maybe ? 
2059,factorofsafety is currently  1   23 
2060,ok mine is the largest  Im gonna decrease
2061,record your current value
2062,ok mine is the largest  Im gonna decrease
2063,record your current value
2064,ok mine is the largest  Im gonna decrease
2065,record your current value
2066,I mass broadcasting my lowest I got
2067,I think we are done
2068,perfect
2069,ok
2070,yay
2071,can we submit now ? 
2072,yes sir  or maam 
2073,perfect
2074,dont change 
2075,can we submit now ? 
2076,perfect
2077,now  1   46 
2078,dont change 
2079,can we submit now ? 
2080,yep i think so
2081,perfect
2082,can we submit now ? 
2083,dont change 
2084,could yo slightly lower your diamter again ? 
2085,we are pretty close
2086,gotcha
2087,sweeeeeet
2088,unless it drastically changes the mass
2089,ill ask
2090,i think so ? 
2091,how
2092,you got it
2093,For better or worse  want me to change mine and see how it affects yours real quick
2094,how do we submit ? 
2095,we got it 
2096,just wait it out
2097,No  looks like that L and r are different than mine 
2098,we got it 
2099,we got it 
2100,we got it 
2101,we have fair now
2102,idk
2103,nice fair 
2104,ask
2105,Sure 
2106,Fair 
2107,Fair 
2108,nice 
2109,someone changed thier mass
2110,What just changed ? 
2111,someone change thier mass
2112,who changed
2113,did you change ? 
2114,I could try
2115,someone changed thier mass
2116,i just reduced my mass
2117,Who changed ? 
2118,someone changed their amss
2119,did oyu change ? 
2120,mass
2121,who changed
2122,no
2123,who changed
2124,did you change something ? 
2125,I didn ; t change
2126,nope
2127,not me
2128,i didnt move
2129,who moved
2130,did you change something ? 
2131,wait we re at very good
2132,wait we re at very good
2133,i didnt
2134,wait we re at very good
2135,I don t know
2136,ok so  2   96  is actually Good  we need to improve factorofsafety to get it to Good
2137,No I didn t
2138,wait we re at very good
2139,idk i didnt change
2140,ok so  2   96  is actually Good  we need to improve factorofsafety to get it to Good
2141,did you change ? 
2142,ok so  2   96  is actually Good  we need to improve factorofsafety to get it to Good
2143,ok so  2   96  is actually Good  we need to improve factorofsafety to get it to Good
2144,did you change something ? 
2145,What just changed ? 
2146,or reduced offset i should say
2147,okay it shows us at very good  not excellent
2148,no
2149,What just changed ? 
2150,ok
2151,so I lowered the diameter and it brought the fs back down
2152,I haven t changed anything
2153,PIck the lowest mass over an factorofsafety of  2 
2154,did you just change something ? 
2155,the mass went up
2156,PIck the lowest mass over an factorofsafety of  2 
2157,PIck the lowest mass over an factorofsafety of  2 
2158,PIck the lowest mass over an factorofsafety of  2 
2159,i dont htink piston did either
2160,just leave it im fine with very good
2161,if you did you need to go back
2162,what is going on
2163,Me neither  I think it was flywheel ? 
2164,just leave it im fine with very good
2165,just leave it im fine with very good
2166,did you change anything
2167,no just leave it im fine with very good
2168,i didnt touvch anything
2169,ok  whats the plan stan ? 
2170,Im going to try upping my mass slighly with a better factorofsafety
2171,did you change something after excellent
2172,i asked
2173,we were at excellent but now its very good
2174,well hold up  someone just pushed us back to Poor
2175,well hold up  someone just pushed us back to Poor
2176,how did the mass go up
2177,ive been at the first broadcast for a while now
2178,well hold up  someone just pushed us back to Poor
2179,well hold up  someone just pushed us back to Poor
2180,how did the mass go up
2181,Did you change anything ? 
2182,nope
2183,just did
2184,whos changing things
2185,My factorofsafety went down I think 
2186,nope
2187,go back to what we had for Fair is you made changes
2188,go back to what we had for Fair is you made changes
2189,are you changing things
2190,mine still says fair
2191,idk 
2192,are you changing things rn
2193,go back to what we had for Fair is you made changes
2194,go back to what we had for Fair is you made changes
2195,okay well we were at excellent and the other guys swear they didn t change anything lol
2196,nah
2197,im not changing anything 
2198,no
2199,I didn t  and neither did crankshaft  I think flywheel did
2200,got it
2201,really ? 
2202,didnt touch anything
2203,i changed nothing
2204,i changed nothing
2205,hmm
2206,same  i even reclicked the one ive been using to make sure it didnt change somehow
2207,I haven t touched anything
2208,anything above a diamter of  47  gives me very low factorofsafety
2209,they said they ddnt
2210,I changed mine back
2211,i even reclicked the one ive been using to make sure it didnt change somehow
2212,Ok  that s odd
2213,Ok  that s odd
2214,i even reclicked the one ive been using to make sure it didnt change somehow
2215,I think tyhe  47   5  produced better results
2216,Ok  that s odd
2217,Ok  that s odd
2218,try to increase your factorofsafety
2219,whats your factorofsafety
2220,why
2221,whats your factorofsafety ? 
2222,i have no clue whats happening with that  my mass is too low to have an impact
2223,whats your factorofsafety ? 
2224,Fair  okay hold on  plenty of time to plan out the next move
2225,Fair  okay hold on  plenty of time to plan out the next move
2226,did you change anything ? 
2227,whats your factorofsafety
2228,Fair  okay hold on  plenty of time to plan out the next move
2229, 2   85 
2230,Fair  okay hold on  plenty of time to plan out the next move
2231, 3   91 
2232,I think so too
2233,It should be our lowest factorofsafety  but it s  0   51  instead of  2 
2234,ok
2235,This is strange
2236,Yeah we just need mass to go down
2237,yeah its fine i jsut want   17 
2238,my factorofsafety is over  4000 
2239,can you go lower in weight while still being high factorofsafety ? 
2240,i will stick with  47 
2241,my mass is  1   12 
2242,can you drop weight ? 
2243,just kidding  back to poor 
2244,its too low to have the impact it is having
2245,just kidding  back to poor 
2246,just kidding  back to poor 
2247,just kidding  back to poor 
2248,ok
2249,i ll look and see if there are any
2250, 2   06 
2251,We need factorofsafety to increase now
2252,what do you mean its   51 
2253,ok youre the minimum
2254,Global requirements top of page
2255,It was good for a second  what happened
2256,i jjust changed one thing and it brought mass down little  try to change your numbers slightly maybe ? 
2257,try not to change anything until you talk to someone
2258,have you heard anything from crankshaft ? 
2259,try not to change anything until you talk to someone
2260,i see mine hadnt updated yet
2261,yes  they are active
2262,the one i mass at now is the best one there is on the list
2263,Someone picked an factorofsafety of  0   51 
2264,when i try to bump factorofsafety up it moves us from very good to good so im leaving it
2265,do you have any lower weight options above  2   06 
2266,What is your factorofsafety
2267,What is your factorofsafety
2268,so it looks like my max factorofsafety is  1   23  with  47 
2269,i jjust changed one thing and it brought mass down little  try to change your numbers slightly maybe ? 
2270,What is your factorofsafety
2271,what happended to our factorofsafety ? 
2272,my lowest factorofsafety is over  4000   crankshaft is the only person I would have to talk to 
2273,Someone picked an factorofsafety of  0   51 
2274,is our global factorofsafety just the lowest part factorofsafety ? 
2275,what happended to our factorofsafety ? 
2276,hmm
2277,yeah
2278,what happended to our factorofsafety ? 
2279,what happended to our factorofsafety ? 
2280,If you changed anything since we got FAIR  please change it back  Then we can regroup and figure out next steps   sending this to everyone 
2281,If you changed anything since we got FAIR  please change it back  Then we can regroup and figure out next steps   sending this to everyone 
2282,If you changed anything since we got FAIR  please change it back  Then we can regroup and figure out next steps   sending this to everyone 
2283,and it keeps going down with larger piston diameter ? 
2284,If you changed anything since we got FAIR  please change it back  Then we can regroup and figure out next steps   sending this to everyone 
2285,no ive checked
2286,yep
2287,If that is true you would be right by saying have everyone pick the lowest mass with factorofsafety less then  2 
2288,who moved we are at poor now
2289,man what happened
2290,you could try increasing pistonborediameter a little and see what happens overall
2291,i can increase factorofsafety by  1   2 
2292,im so confused what happened
2293, 3   62 
2294,ok
2295,if someone can decrease their mass by   9 
2296,no idea  our mass is way too high and factorofsafety too low
2297,I can decrease my mass by   19 kg but that brings my factorofsafety down  1   49 
2298,i can increase factorofsafety by  1   2  piston  Me if someone can decrease their mass by   9 
2299,it doesnt matter if youre not the min factorofsafety
2300,i can increase factorofsafety by  1   2  piston  Me if someone can decrease their mass by   9 
2301,i can increase factorofsafety by  1   2  piston  Me if someone can decrease their mass by   9 
2302,Mine is still same
2303,I pistonborediameter like to keep it at  47  since that help connecting rod
2304,WHO THE HELL KEEPS MOVING IT TO POOR
2305,wut
2306,nah dont do that
2307,says very good still
2308,i have  3   27  kg and  1   23  factorofsafety
2309,i can increase my mass by increasing thickness
2310,its fine now
2311,i have  3   27  kg and  1   23  factorofsafety
2312,i have  3   27  kg and  1   23  factorofsafety
2313, ? 
2314,i have  3   27  kg and  1   23  factorofsafety
2315,by about   7  or  1 
2316,it just keeps flipping so someone is touching something
2317,I told everyone that  but I think connector tod and piston pin guys left
2318,I mass trying to find out what everyone s factorofsafety is  crankshafter has theirs at  3   62 
2319,same
2320,I am staying at mass  0   07  and fs  1   23 
2321,update back to very good
2322,what really ? 
2323,alright it just seems like we may have trouble getting past  1   23  factorofsafety
2324,We need an factorofsafety of  1   5 
2325,Any way to increase factorofsafety ? 
2326,nobofy left the room did they ? 
2327,that s a requirement
2328,got it
2329,you there
2330,Lowest factorofsafety is the system factorofsafety
2331,whats your factorofsafety if you dropped mass by  3 kg
2332, 2  is for expecially good design
2333,whats your factorofsafety
2334,it costs money
2335,whats your factorofsafety if you drop mass by  3 kg
2336,my highest factorofsafety is  1   23 
2337,they just not responding to messages ? 
2338, 1   23  is the maximum possible fs for the piston pin at the current piston diameter
2339,okay mine is  3   84 
2340,Mine still says fair  mass equals to  2   96   factorofsafety equals to  1   73   I can increase mass by  0   28   but increase factorofsafety by  2   63   Someone would need to decrease the mass by at least   28  tho
2341,whats your factorofsafety if you drop mass by  3 kg
2342,Mine still says fair  mass equals to  2   96   factorofsafety equals to  1   73   I can increase mass by  0   28   but increase factorofsafety by  2   63   Someone would need to decrease the mass by at least   28  tho
2343,the values range as other engineers alter their broadcasted values
2344,Mine still says fair  mass equals to  2   96   factorofsafety equals to  1   73   I can increase mass by  0   28   but increase factorofsafety by  2   63   Someone would need to decrease the mass by at least   28  tho
2345,Mine still says fair  mass equals to  2   96   factorofsafety equals to  1   73   I can increase mass by  0   28   but increase factorofsafety by  2   63   Someone would need to decrease the mass by at least   28  tho
2346,someones has to be that   5  though right
2347,im at  1   23  factorofsafety as well and cant get above that unless we change piston diamter to  40 
2348, 1   23 
2349,That makes no sense
2350,Lowest factorofsafety is the system factorofsafety btw
2351,that s the highest
2352, 3   03 
2353,our global factorofsafety just the lowest part factorofsafety you think
2354,Is there anything you can do to reduce mass without changing factorofsafety much ? 
2355,how do i checkt that
2356,Lowest factorofsafety is the system factorofsafety btw
2357,can you go higher now ? 
2358, 1   14 
2359,Lowest factorofsafety is the system factorofsafety btw
2360,nevermind I mass being stupid
2361,on your list 
2362,Are you there
2363,my mass is minimized rn
2364,bad ok dont do that
2365,yeah 
2366,It does  if one of the engineers changes their dimensions mine are forced to change
2367,Is your factorofsafety really low ? 
2368,tell them that 
2369,Yeah i figured that out when mine was lowest lol
2370,i think ive optimized my part
2371,bueno
2372,we reached good
2373,piston pin has theirs at  1   23  and says that s their highest option
2374,yep raised it
2375,hmm Crankshaft is saying to drop mass by   28 
2376,but yes  we need to keep track of where we are
2377,we reached good
2378,itll say your current mass  find the one thats  3  kg lower and then find the factorofsafety
2379,GOOD
2380,WE are GOOD
2381,i have  3   27  kg and  1   23  factorofsafety
2382,i have  3   27  kg and  1   23  factorofsafety
2383,in order to optimize our results
2384,We are GOOD
2385,GOOD 
2386,With  0   12  mass 
2387,me too
2388,GOOD 
2389,if one of the other values changes  does it give you more options ?  Like if pistonborediameter increased or decreased ? 
2390,GOOD
2391,nice
2392,who is in charge of piston pin
2393,we re at good
2394,nice
2395,our mass is the only thing to change now
2396,i drop to   97  factorofsafety
2397,I say we stop changing
2398,you ? 
2399,nobody touch anything haha
2400,ok dont do that
2401,so i dont want to change
2402,nobody touch anything haha
2403,I have  3   03  with mass of  0   12  
2404,nobody touch anything haha
2405,cool  not touching anything
2406,nobody touch anything haha
2407,No
2408,oh dang
2409,No we re not good
2410,cool  not touching anything
2411,I think  75  is the best right now
2412,cool  not touching anything
2413,if everone can find their lkowest mass part with an factorofsafety of over  2  that chould do it
2414,I have factorofsafety  equals to   3   03  with mass  equals to   0   12  
2415,HEllo
2416,nvmd
2417,cool  not touching anything
2418,im at  2   72 kg and  2   28  factorofsafety
2419,refresh it
2420,im at  2   72 kg and  2   28  factorofsafety
2421,im at  2   72 kg and  2   28  factorofsafety
2422,ok
2423,im at  2   72 kg and  2   28  factorofsafety
2424,Rod designer still here
2425,i agree haha
2426,Only change something if it will lower mass and keep fs greater than  2 
2427,we should try and edit our options to optimize theirs then
2428,but that might change the system actually
2429,so youre at the value that is closest to  2  factorofsafety 
2430,so nevermind haha
2431,as someone changes their values  all other fvalues are forced to change
2432, 2   06  right
2433,or maybe two or three are tied
2434,Yeah that s what im trying to find out
2435,my individual factorofsafety is in the range of  2000   not sure how to compare that to  2 factorofsafety on a system wide level
2436,I don t think any of them will be high enough if I drop any mass
2437,but we have a good design
2438,sorry I was distracted by other teammates 
2439,all good
2440,do you need me to change my thickness or anything like that ?  changing my thickness only affects my mass by  1   5  kg max if it helps you out with mass
2441, 2   03 factorofsafety is about the factorofsafety we can do and still be very good   excellent  we need to drop the mass
2442, 2   03 factorofsafety is about the factorofsafety we can do and still be very good   excellent  we need to drop the mass
2443, 2   03 factorofsafety is about the factorofsafety we can do and still be very good   excellent  we need to drop the mass
2444, 2   03 factorofsafety is about the factorofsafety we can do and still be very good   excellent  we need to drop the mass
2445,my time is up
2446,my time is up
2447,End experiment  nice worK 
2448,End experiment  nice worK 
2449,my time is up
2450,End experiment  nice worK 
2451,End experiment  nice worK 
2452,my time is up
2453,hello
2454,hello
2455,hello
2456,hello
2457,The crankshaft bearing offset is something I need to know
2458,whaddup
2459,who r u
2460,wassup
2461,maybe we need to be secret
2462,I only care about the crankshaft persons decisions
2463,hi
2464,what mass are we all thinking cuz we need to be under  35 
2465,what mass are we all thinking cuz we need to be under  35 
2466,what mass are we all thinking cuz we need to be under  35 
2467,what mass are we all thinking cuz we need to be under  35 
2468,What are you working on ? 
2469,What are you working on ? 
2470,What are you working on ? 
2471,What are you working on ? 
2472,yo bro
2473,we gotta talk
2474,piston- pin designer
2475,I chose a t _ f  equals to   12   0  and pistonborediameter _ s  equals to   60   0 
2476,The piston can be any value between  3  and  15 kg
2477,Im working on the connecting rod  Honestly just trying to figure out how to start
2478,What value of the piston diameter should I use ? 
2479,hows it going
2480,What about you ? 
2481,our crankshaft person isnt communicating with me  can you try and get them to talk to me  :   I need to discuss values with them
2482,ive got you at  75 
2483,so what might effect you is the diameter of the pin
2484, ? 
2485,i mass trying to minimize the mass of crankshaft and factor of safety
2486,bearingoffset equals to  150 
2487,i determine bearingoffset and dc
2488,sure
2489,yeah the pin is pretty light  shouldnt be an issue
2490,Im working on the piston
2491,trying to max factorofsafety and min weight
2492,what are you working on ? 
2493,hey the flywheel guy needs some info from you
2494,trying to max factorofsafety and min weight
2495,Thank you
2496,kk ill test
2497,trying to max factorofsafety and min weight of the piston
2498,we are  1   94  over mass rn
2499,yeah
2500,we are  1   94  over mass rn
2501,dwhat is your current piston bore diameter ? 
2502,we are  1   94  over mass rn
2503,honestly the best bet for me would be a factorofsafety of above two and make the smallest weight possible
2504,my stats for flywheel are as follow
2505,my graphs don t show up so i mass somewhat limited
2506,we are  1   94  over mass rn
2507,The highest performance is at  3   91  factorofsafety and  5   2 mass
2508,hi  what are you working on ? 
2509,t _ f  equals to   12   0  and pistonborediameter _ s  equals to   60   0 
2510,yea I can lower the mass of the piston  I have it set at  8   84 kg right now
2511,its t _ h  equals to   4  and pistonborediameter  equals to   75 
2512,mass  equals to   1   27  and f _ os  equals to   15886   04 
2513,i have mass for the shaft at  18   63   fs equals to  2   06 
2514,Yeah  what parameters are you designing for ? 
2515,The bore diameter ? 
2516,mine also
2517,Would the diameter of the piston-pin effect your design at all ? 
2518,Would the diameter of the piston-pin effect your design at all ? 
2519,pistonborediameter  equals to   75 
2520,updated my mass to  1   19 
2521,updated my mass to  1   19 
2522,Would the diameter of the piston-pin effect your design at all ? 
2523,we at very good rn im happy with that
2524,maybe ?  what is yours
2525,f _ os  equals to   9193   31 
2526,yes  i design the bearingoffset and dc
2527,we at very good rn im happy with that
2528,f _ os  equals to   9193   31 
2529,Trying to figure out what s happening
2530,f _ os  equals to   9193   31 
2531,we at very good rn im happy with that
2532,mass  equals to   1   19 
2533,we at very good rn im happy with that
2534,What is the bearing offset ?  it just says  60  and I don t know if you have changed it
2535,You ? 
2536,we can tone it down some still
2537,Whats your current diameter ? 
2538,I dont believe so
2539,we can tone it down some still
2540,trying to max factorofsafety and min weight
2541,my goal is to minimize the crankshaft weight and maximize factorofsafety
2542,we can tone it down some still
2543,same
2544,cool
2545,wanna shoot for excellent ?   : P
2546,yea what we have right now is perfect
2547,duh
2548,wanna shoot for excellent ?   : P
2549,wanna shoot for excellent ?   : P
2550,my current bearingoffset i  150  and dc of  30 
2551,lets try only small changes now since we are at very good  maybe make it to excellent
2552,just remember what you have now
2553, 60  ia the current value
2554,is 
2555,just remember what you have now
2556,just remember what you have now
2557,can try small changes
2558,just remember what you have now
2559,I mass trying to minimize the mass of the connecting rod
2560, is
2561,if we could take off  2  kgs wed be golden
2562,we are very good
2563,hi  what are your working on ? 
2564,bro are you alive
2565,helloooo
2566,Ok let me know if you change that because it will effect my design
2567,I mass trying to minimize the mass of the connecting rod
2568,ok just making sure it updates
2569,At  75  diameter for me  the best I have is  2   85 factorofsafety and  6   26 mass
2570,yea my bad  I ve got  7   15 kg right now
2571,we would want to reduce weight without reducing fs
2572,ok somehow we now have way too much mass
2573,You ? 
2574,piston diameter  pistonborediameter  is currently  105   not variable I control
2575,since we are at the threshold for fs
2576,ok somehow we now have way too much mass
2577,minimize the mass of crankshaft and maximize factorofsafety
2578,I am working on setting the thickness of the I section of the connecting rod and the Conrod length to crank length ratio  What about you ? 
2579,ok somehow we now have way too much mass
2580,i mass determining dc and bearingoffset
2581,ok somehow we now have way too much mass
2582,I haven t changed anything yet
2583,Whats your current diameter ? 
2584,Have you chosen a crankshaft bearing offset ? 
2585,my bad  thanks
2586,how much does the crankshaft currently weigh ? 
2587,how much does the connecting rod currently weigh ? 
2588,let me know if you need anything from me
2589,Hello I currently am discussing with a  75  diameter piston
2590, 2   31 
2591,there is a default one but i mass trying to figure out how to change it
2592,ok who will my t _ h or piston head thickness affect ? 
2593,minimize the weight of crankshaft and increase factorofsafety
2594,yea  idk who changed a value  If we cant figure it out  I can lower the piston  4  pounds
2595,kg
2596,i mass determining bearingoffset and dc
2597,Are you able to change the length and diameter of the piston ? 
2598,I didn t change
2599,Do you need any info from me ? 
2600,Do you need any info from me ? 
2601, 40  inches 
2602,What is your current analysis ? 
2603,Im not sure  the only thing that effects me is the bore diameter
2604,thanks
2605,Maybe ask around
2606,Do you need any info from me ? 
2607,ok will do
2608,what variables affect your decisions
2609,I dont have those variables on my diagrams  what do they represent ? 
2610,Do you have direct control over piston diameter  pistonborediameter  ? 
2611,what variables affect you
2612, 18   63 
2613,ok back to very good i say leabe it
2614,how much does the fly wheel weigh ? 
2615,Crankshaft bearing offset
2616,ok guys looks good
2617,I have broadcasted the best value
2618,ok guys looks good
2619,ok back to very good i say leabe it
2620,what is the piston bore
2621,I can chang the diameter
2622,ok guys looks good
2623,I have broadcasted the best value
2624,ok back to very good i say leabe it
2625,ok guys looks good
2626,ok back to very good i say leabe it
2627,I have broadcasted the best value
2628,What about you
2629,I have broadcasted the best value
2630,we got it
2631,ok thats not me then  maybe ask around
2632,Yes
2633,flywheeldiameter flywheelthickness and pistonborediameter
2634,and t _ h  which may be the length
2635,we re at excellent
2636,The piston has a diameter of  75 
2637,exellent dont touch
2638,Yeah I mass talking to the crankshaft
2639,someone touched it
2640,exellent dont toucu
2641,awesome
2642,yuppppp
2643,or we were for a second
2644,the current optimal bearingoffset and dc i got that yields best results is bearingoffset  equals to   150  and dc  equals to   50 
2645,ok I change pistonborediameter right now its still  75 
2646,do you have the piston bore diameter
2647,the current optimal bearingoffset and dc i got that yields best results is bearingoffset  equals to   150  and dc  equals to   50 
2648,and a tH of  10   5 
2649,I have not selected anything yet  Still looking through my options
2650,bearingoffset is bearing support offset
2651,agreed
2652,do you have the flywheel shaft diameter
2653,dc is crank-pin diameter
2654, 40  inches currently
2655,the current optimal bearingoffset and dc i got that yields best results is bearingoffset  equals to   150  and dc  equals to   50 
2656,Which part do you think has the most mass ?  mine is small but i can chang factorofsafety a lot
2657,i mass having the best value now
2658,alright we re at very good  I say lets leave it at this
2659,and flywheel thickness
2660,ayyy the status is good somehow
2661,we just had excellent but someone touched it
2662,we need to decrease the mass
2663,we need to decrease the mass
2664,we need to decrease the mass
2665,we need to decrease the mass
2666,We re at very good  I say we leave it at this
2667,agreed
2668,we got excellent
2669,same here
2670,Actually its better now
2671,Its excellent rn so dont change it without writing down what you have now
2672,we got excellent
2673,Yeah  Im on the second lightest option
2674,Its excellent rn so dont change it without writing down what you have now
2675,Its excellent rn so dont change it without writing down what you have now
2676,we got excellent
2677,the mass of the piston is currently  2   23 
2678,Its excellent rn so dont change it without writing down what you have now
2679,we got excellent
2680,For the flywheel shaft diameter i have  10 
2681,Okay I ll let you know what I get
2682,Yeah
2683,I can change diameter if needed
2684,we finished now ? 
2685,sweet we re at excellent
2686,we finished now ? 
2687,we finished now ? 
2688,Its excellent now
2689,Yeah
2690,ranges from 0   45  to  4   43 
2691,For the diameter it is  25  right now
2692,yea we re at excellent
2693,cool we should be good then
2694,lets leave it like this
2695,Sweet we re at excellent quality rn
2696,cool
2697,so hows life
2698,I mass on the lightest option  but if I go up at all we ll go over  3 
2699,Ok  mine is only   5   Idk how factorofsafety works but mine goes above  5 k
2700,perfect  thank you
2701,nice
2702,I can try lower mass  however pistonborediameter will need to increase to compensate for the reduced factorofsafety
2703,lmk what you think
2704,lmk what you think
