,full_text,Asking_for_information,Providing_information
452,per mine depth is thus optimized as with mass equals to 0 12 b and single factorofsafety equals to 3 44 when you already have the pistonborediameter equals equal to 40,0,1
453,is your heart mass high?,1,0
454,for 1 flywheelthickness ratio equals equal to 10 flywheeldiameter equals sum to 15 ; and mass equals to 0 52 pounds and the factorofsafety reduction equals equals to 1215 12,0,1
455,and i re - simulated performance with the others directly updated my values and got a slightly lower mass shift and factorofsafety performance of 3,0,1
456,is actually there one anyway you could just lower the required weight and factorofsafety to just just above 2,1,0
457,for flywheelthickness equals to 10 flywheeldiameter scale equals 1 to 25 ; mass diameter equals to 0 55 and and from factorofsafety diameter equals 4 to 2 5625 per 56,0,1
458,that is what i kept uploaded to me while more well consistent my values really did not change though,0,1
459,i think you have the third biggest weight contribution so if... you can really optimize it a bit better we should both be close,0,1
460,range range of weights was 1 0 49 weighted to 4 81 for my guide broadcast rating uses 1 49 weights with factorofsafety equals to 4 55,0,1
461,now my maximum mass is 30 lbs but since the crankshaft mass is always high i can set to it well over mach 50 by myslef,0,1
462,i chose the very smallest values to further give smallest weight left on my end,0,1
463,suppose how great much does your mass range by,1,0
464,that range of the weights was 1 of 49 plus to 4 81 my world broadcast guide uses 1 49 with factorofsafety equals 7 to 4 55,0,1
465,i chose from the next smallest values to give smallest potential weight on my end,0,1
466,was there even a single particular reason why has you even asked about it maxing out flywheeldiameter?,1,0
467,basically 1 if we can for each day keep our part factor range of safety above 2 while not minimizing mass we ll always be golden,0,1
468,basically if we members can only each keep our part with factor of safety above 2 k while minimizing our mass we ll be totally golden,0,1
469,i lowered my muscle mass by about 5 ¹⁄₂ lbs,0,1
470,imagine how much appreciable change is the next change possible in mass if finally you prioritize factorofsafety?,1,0
471,... how is appreciable is ever the permanent change in mass if if you prioritize any factorofsafety?,1,0
472,how strongly appreciable why is the exponential change in personal mass consumption if you prioritize against factorofsafety?,1,0
473,not this much,0,1
474,so yeah her the entire overall mass went up so i used mass about first to deliberately raise my gross mass cap and drop the factorofsafety until one of the other designers asked me to,0,1
475,yeah the overall eye mass deficit went up significantly so i mass about to raise my mass and then drop below the mental factorofsafety one of the other hair designers asked taking me out to,0,1
476,all ive maxed factorofsafety and now my activation mass is at about 0 12,0,1
477,2 whats are your factorofsafety,1,0
478,ok do that that really s a big factorofsafety i for only makes a gain estimate of 0 for 03,0,1
479,i mean i mass the low exposure factorofsafety rating of 2 000 01 now and can or t really cut any no more on mass,0,1
480,current stations broadcasted voice is 25 98 with factorofsafety is still varying over 2,0,1
481,i guess what was i mass saying today is if you can only marginally increase mass to this increasing factorofsafety more yet noticeably that you might not be a better new compromise,0,1
482,and we re back to very good,0,1
483,how does the extended piston radius bore diameter affect the overall fuel design parameters?,1,0
484,cool i havent changed... anything back from excellent,0,1
485,any factorofsafety higher than... 2 gets at us nothing... more we really need to actually drop mass,0,1
486,then what are your current values?,1,0
487,like what parameters you chose,1,0
488,then what are your current values?,1,0
489,mass equals to an 52 factorofsafety equals to approximately 2 × 02,0,1
490,2 18 01 sorry,0,1
491,what were are you your current values? parameters you chose,1,0
492,parameters you normally chose,1,0
493,if i really reduce all my plasma mass transfer by 03 it reduces factorofsafety by 25 to 1 in 76,0,1
494,the current global broadcast factorofsafety factor equals equivalent to 5626,0,1
495,per flywheelthickness equals 3 to 10 flywheeldiameter performance equals to track 25,0,1
496,your mass is 25 or 98?,1,0
497,consider in that case that it would instead be more valuable to consistently keep the lower corrected flywheeldiameter value to actually conserve mass,0,1
498,r 2 equals proportional to 0 2 5 so r 3 3 equals corresponding to 0 2 and at pistonborediameter 3 equals to about 40 this gives mass equals corresponding to 0 12 and a factorofsafety equals to 3 3 44,0,1
499,therefore i now have minimum gross factorofsafety but i further decrease decreased my gross mass,0,1
500,just slightly updated relative to flywheelthickness this equals to mach 10 flywheeldiameter it equals to 15 kw and shaved 03 kg at limited build cost,0,1
501,not sure that but 0... 03 is not a lot of electron mass,0,1
502,i just lowered writing it over to 25 plus 23 that really is low for the crankshaft,0,1
503,can you you cut any more internal mass out and get closer to that factorofsafety where equals to square 2,1,0
504,yeah okay we re still above a factor of public safety regardless of our 2 thought so and don t worry about it,0,1
505,since my personal model factorofsafety is 4 55 w and my personal parameter model selection method minimizes mass,0,1
506,we are both toeing into the 3 kg limit though i mass her probably six just going as to keep flywheeldiameter size equals to 15,0,1
507,i first broadcasted you a slight change to lower my chest mass factorofsafety is still above 2 0 so i saw that after receiving this message so sorry about it not ever telling again you before,0,1
508,my mass limit is further lowered and my factorofsafety is to just above max 2,0,1
509,i only dropped back my mass by 0 02,0,1
510,what s is your mass greater than,1,0
511,does changing even any other surface s parameters help not bring your mass down?,1,0
512,just what where s keeping the piston bore up from being automatically minimized to 75 degree if i may ask? i think perhaps we were hitting an excellent rating base when it itself was at around 75 earlier,1,0
513,should try and minimize further your mass shift but keep factorofsafety weight above 2,0,1
514,hey what mass communications are those you getting?,1,0
515,where cool can you get your mass from any lower?,1,0
516,try and totally minimize your mass intake but keep factorofsafety levels above mass 2,0,1
517,well i am trying too but it lowers my time factorofsafety as yours well so i ll see if i can already do exactly anything furhter,0,1
518,just quickly lowered it another 2 lbs,0,1
519,the sweet just a little bit more,0,1
520,it also is at a 75 though,0,1
521,you then ll need to broadcast once that the last most recent broadcast value we have listed is 80,0,1
522,i can quickly increase by 1 our pound length and factorofsafety also quickly goes up approximately by 1 which this is saying a lot why can anyone just lose a nice lot of mass with a small decrease in factorofsafety?,0,1
523,then someone just broadcasted out somethhing different sounds and raised our mass to almost 3 25,0,1
524,do its at 2 83 to rn for me,0,1
525,can you see 51 if you able increase your bore in diamater to 41 percent or 42 if just it can improves anything?,1,0
526,and i certainly am still trying but my damn hardest what would your factorofsafety be with that change? why we need only want it to be above 2,1,0
527,for taking my part or total?,1,0
528,in your part,0,1
529,1 ¶ 38,0,1
530,thats probably as low as i have just gotten it,0,1
531,hey your looks... like as our factorofsafety went up what actually changed?,1,0
532,what economic value are you changing?,1,0
533,usually i have aimed mine with the factorofsafety closest to even 2 ghz and lowest possible mass i can get,0,1
534,whilst i don doubt t really think that was my ever doing i have been broadcasting factorofsafety the values around the 8,0,1
535,any logical way you can decrease mass,0,1
536,i stop changing,0,1
537,stop the changing,0,1
538,we are sitting at excellent agian,0,1
539,we are at his excelelent port again,0,1
540,flywheel changed a value and by i had lost 5 lb lbs,0,1
541,i greatly decreased my weight parameter of a bit,0,1
542,bearingoffset equals to only 60 so dc equals up to 15,0,1
543,hey and i also need information to know what piston bore diameter you are planning to directly use for checking my calculations,1,0
