,full_text,Dependencies_between_design_parameters,Effects_of_design_parameters_on_objectives,Exploration_of_design_parameter_values,Monitoring_objective_values,Selected_design_parameter_values_for_objective(s),Tradeoff_between_objectives
338,they a re still going about to leave and it safe sinc eit doesn taffect weight a much,0,1,0,0,0,0
339,i deliberately decreased flywheeldiameter to 15 mm to conserve some molecular mass as my heat factorofsafety factor values used are often all greater than above 300,0,0,0,0,0,1
340,what is of your global diameter at currently?,0,0,0,0,1,0
341,keeping it at 40 works her best so for me what about the 4 others?,0,0,1,0,0,0
342,9 ok my factorofsafety values range up from 1 kb to 8,0,0,0,1,0,0
343,whats it to at war with 45?,0,0,1,0,0,0
344,what mass point are you at?,0,0,0,1,0,0
345,when with bearingoffset dc equals close to 60 and dc equals up to 20 i get factorofsafety function equals to around 8,0,1,0,0,0,0
346,do what you change the crank piston diameter at all,0,0,1,0,0,0
347,just being updated my broadcast mass of the mine is s 1 49,0,0,0,1,0,0
348,just updated my broadcast mass rating of a mine is 1 h 49,0,0,0,1,0,0
349,is my 45 mm mm bore diameter working for better for you? i earlier was getting better on results at 40,0,0,1,0,0,0
350,and factorofsafety?,0,0,0,1,0,0
351,i mass not the only sad one that is really changing,0,0,0,1,0,0
352,but what all affects on the piston diameter? keeping the diameter slightly smaller improves both higher the pin s mass capacity and noise factor depending of safety what important factors drive up the diameter?,1,0,0,0,0,0
353,well oops sorry it should s at 80,0,0,0,0,1,0
354,overall clinical factorofsafety profile is 1 7,0,0,0,1,0,0
355,40 this works for me,0,0,1,0,0,0
356,anybody who s made factorofsafety changed?,0,0,0,1,0,0
357,pistonborediameter equals to 40 works sounds best job for me just if sometimes you can make that more work,0,0,1,0,0,0
358,what s in your human factorofsafety?,0,0,0,1,0,0
359,someone who s the factorofsafety changed,0,0,0,1,0,0
360,then what s exactly your factorofsafety?,0,0,0,1,0,0
361,individually 2 45 47,0,0,0,1,0,0
362,what s your component power range consist of weights?,0,0,0,1,0,0
363,is it the factorofsafety highest and mass percent lowest enough when such the offset is simply 150?,0,1,0,0,0,0
364,i don t know if but mine it is still best at 105,0,0,0,0,1,0
365,i have both found my values fully and optimized,0,0,0,0,0,1
366,most recent observed factorofsafety is approximately 3 by 01,0,0,0,1,0,0
367,i mass currently at 40 cubic mm for diameter polymer which actually is giving me better laboratory results than the 45 mm,0,0,1,0,0,0
368,when can you max everything out from the flywheeldiameter value to see what potentially happens?,0,1,0,0,0,0
369,but i therefore don t change that i only do change bearingoffset that and a pistonborediameter _ for bearingoffset,0,0,1,0,0,0
370,think i optimized my chest part with their mass 7 equals to 32 52 and factorofsafety is equals equal to 2 01,0,0,0,1,0,0
371,think perhaps i was optimized with my weight part with mass equals to 14 52 and with factorofsafety equals to 2 01,0,0,0,0,0,1
372,and think i optimized on my body part with equal mass 3 equals to 52 and factorofsafety equals to 2 x 01,0,0,0,1,0,0
373,mine area is 3,0,0,0,1,0,0
374,it supposedly increases his mass by 0 03 and also increases their factorofsafety to 5 5625 56,0,1,0,0,0,0
375,also crankshaft is like 30,0,0,0,0,1,0
376,this mine composition is well optimized with mass equals to 0 2 12 16 and factorofsafety mass equals to 3 44 17 when if you have pistonborediameter equals to 2 40,0,1,0,0,0,0
377,is your mass too high?,0,0,0,1,0,0
378,weight for 4 flywheelthickness equals 49 to 50 10 flywheeldiameter resolution equals down to 15 ; mass comparison equals up to 1 0 52 and factorofsafety equals to 1215 12,0,0,0,0,1,0
379,i re - even simulated with the others the updated absolute values and therefore got a slightly different lower mass and weight factorofsafety of 3,0,1,0,0,0,0
380,is there something anyway you could grow lower at the free weight in and factorofsafety to just above 2,0,0,0,0,0,1
381,for illustration flywheelthickness equals x to 10 flywheeldiameter weight equals proportional to 25 ; mechanical mass equals to 0 55 249 and factorofsafety equals proportional to 0 5625 × 56,0,0,0,0,1,0
382,i would think maybe you have the then biggest weight contribution so if you really can optimize a bit then we two should be close,0,0,0,1,0,0
383,range range of weights was approximately 1 49 to 400 4 h 81 my show broadcast uses of 1 49 with factorofsafety equals 0 to 4 55,0,0,0,1,0,0
384,my mass range is roughly 30 g lbs extra but the crankshaft mass is nearly always high i can set it over 50 g by myslef,0,1,0,0,0,0
385,i chose the five smallest values to each give smallest weight on my front end,0,1,0,0,0,0
386,how a much space does your mass range by,0,0,0,1,0,0
387,range of weights was 1 2 49 to 4 81 my main broadcast set uses 1 0 49 with factorofsafety which equals 10 to 1 4 55,0,0,0,1,0,0
388,i chose the smallest values to just give our smallest weight on since my end,0,0,0,1,0,0
389,however was there a particular reason to why once you asked about him maxing the out flywheeldiameter?,0,0,1,0,0,0
390,basically if we can also each keep our energy part iii factor of safety above 2 atm while minimizing mass we t ll already be golden,0,0,0,0,0,1
391,basically if we can each keep up our current part factor sense of safety above 2 while minimizing mass density we ll certainly be down golden,0,0,0,0,0,1
392,i lowered what my mass to by about 5 lbs,0,0,0,1,0,0
393,how widely appreciable is the value change gained in mass production if you just prioritize with factorofsafety?,0,0,0,0,0,1
394,how appreciable is the smallest change happening in the mass but if so you prioritize any factorofsafety?,0,0,0,0,0,1
395,remember how appreciable that is the significant change in his mass if if you prioritize one factorofsafety?,0,0,0,0,0,1
396,fuck yeah the actual overall mass went up so i mass about to raise back my mass and eventually drop over the top factorofsafety was one of how the three other designers asked me to,0,0,0,0,0,1
397,but yeah the entire overall internal mass went up so fast i mass about to go raise my mass quickly and simply drop the factorofsafety one of the various other designers asked me about to,0,0,0,0,0,1
398,r ive maxed a factorofsafety and my mass is at most 0 0 12,0,0,0,0,0,1
399,guess whats your favourite factorofsafety,0,0,0,1,0,0
400,ok you do that and that make s a big factorofsafety for only adding a gain of 0 − 03,0,0,0,0,0,1
401,ok do what that you can,0,0,0,1,0,0
402,isn t adding the underlying system factorofsafety only really dependent on using the lowest value used out loud of all the subsystems?,0,1,0,0,0,0
403,in current usage broadcasted is 25 to 98 factorofsafety is still well over 2,0,0,0,1,0,0
404,i guess what i mass saying is about if you yourself can marginally significantly increase human mass thanks to increasing factorofsafety much more noticeably more that might actually be a better compromise,0,0,0,0,0,1
405,how does reducing the piston bore diameter often affect the overall piston design parameters?,0,1,0,0,0,0
406,cool so i havent changed anything from another excellent,0,0,0,1,0,0
407,or any risk factorofsafety was higher than 1 2 gets us nothing until more we need to drop mass,0,0,0,0,0,1
408,what are the your current values?,0,0,0,1,0,0
409,what mass equals to 52 factorofsafety equals 1 to 2 h 02,0,0,0,1,0,0
410,9 2 01 sorry,0,0,0,1,0,0
411,what data are your current values? and parameters you chose,0,0,0,1,0,0
412,if i successfully reduce even my mass by 03 then it reduces its factorofsafety by nearly 25 to 1 76,0,0,0,0,0,1
413,the median current television broadcast factorofsafety equals to exactly 5626,0,0,0,0,1,0
414,2 flywheelthickness ratio equals equals to 10 flywheeldiameter equals equivalent to 25,0,0,0,0,1,0
415,when your mass is 25 98?,0,0,0,1,0,0
416,in that the case it would be more valuable to keep of the lower level flywheeldiameter on value than to exactly conserve mass,0,1,0,0,0,0
417,6 r w 2 equals 10 to 0 5 r 3 equals 0 to 0 2 l and at pistonborediameter equals 2 to 40 this gives in mass 2 equals to 0 12 r and factorofsafety rate equals to 3 44,0,0,0,0,1,0
418,i could now have minimum fitness factorofsafety but i further significantly decreased my muscle mass,0,0,0,0,0,1
419,just one updated software to eliminate flywheelthickness equals to be 10 to flywheeldiameter equals to 15 and also shaved out 03 kg at limited cost,0,1,0,0,0,0
420,she not sure where but 0 03 is not a lot out of mass,0,0,0,1,0,0
421,i also just recently lowered it to 25 23 that also is low pressure for the crankshaft,0,0,0,0,1,0
422,can have you cut across any more mass out here and get closer and to factorofsafety 3 equals to 2,0,0,0,0,0,1
423,okay we re getting still above even a factor of 100 safety of number 2 thought so don t worry about repeating it,0,0,0,1,0,0
424,so my personal factorofsafety is 4 55 1 and my own personal parameter of selection minimizes our mass,0,0,0,0,1,0
425,we are toeing the 3 kg limit together though i mass probably more just for going to keep flywheeldiameter speed equals close to section 15,0,1,0,0,0,0
426,i broadcasted a change to then lower my mass factorofsafety as is actually still above 2 × 0 i briefly saw about that after delivering this message so sorry about my not telling you it before,0,0,0,0,1,0
427,my mass is increasingly lowered and thus my risk factorofsafety is just way above 2,0,0,0,1,0,0
428,i actually dropped back my mass by 0 02,0,0,0,1,0,0
429,what... s your mass greater than,0,0,0,1,0,0
430,does the changing any other s phase parameters possible help bring your mass down?,0,1,0,0,0,0
431,what s keeping the piston bore factor from being minimized up to about 75 if i may ask? actually i do think we were only hitting an excellent design rating even when it was still at 75 earlier,1,0,0,0,0,0
432,try not and minimize your mass but they keep their factorofsafety height above 2,0,0,0,0,0,1
433,hey hey sweetheart what mass are you getting?,0,0,0,1,0,0
434,cool as can you get with your mass any lower?,0,0,0,1,0,0
435,try anything and minimize all your mass but also keep factorofsafety level above 2,0,0,0,0,0,1
436,i am trying this but it only lowers nearly my factorofsafety as things well but i ll see if i actually can mentally do anything furhter,0,0,0,0,0,1
437,just lowered it down another 2 lbs,0,0,0,0,0,1
438,currently it is at a 75 though,1,0,0,0,0,0
439,i can increase weight by of 1 1 pound now and factorofsafety also goes speeding up again by by 1 which is a sad lot can anyone lose a lot of mass with a small overall decrease rate in factorofsafety?,0,0,0,0,0,1
440,if someone just broadcasted this somethhing is different and raised our mass to 3 at 25,0,0,0,1,0,0
441,its at 2 83 mm rn for us me,0,0,0,1,0,0
442,what can you see if all you increase from your bore of diamater to 41 levels or 42 as if it improves anything?,0,1,0,0,0,0
443,i am probably trying my hardest... what species would your current factorofsafety be replaced with... that change? we only want it to be something above 2,0,0,0,1,0,0
444,9 1 38,0,0,0,1,0,0
445,thats as the low as ever i have gotten it,0,0,0,1,0,0
446,hey looks like since our psi factorofsafety went back up what actually changed?,0,0,0,1,0,0
447,i also have mine with half the factorofsafety closest to just 2 mb and lowest mass density i can get,0,0,0,0,1,0
448,i don t exactly think creating that one was all my intention doing i have been seen broadcasting factorofsafety values around 8,0,0,0,1,0,0
449,take any way you can decrease mass,0,0,0,0,0,1
450,stop it changing,0,0,0,1,0,0
451,we are at this excellent agian,0,0,0,1,0,0
452,flywheel changed a value now and i once lost 5 lbs lbs,0,1,0,0,0,0
453,now i have decreased my weight parameter a bit,0,1,0,0,0,0
454,bearingoffset equals 1 to 0 60 pa dc equals to 15,1,0,0,0,0,0
455,now hey i need to know what double piston stroke bore diameter you are finally planning to use for making my calculations,0,0,1,0,0,0
